source_relative_to_workspace,package_relative_path,bytes,sha256,role,evidence_tier
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_below_612A8B_mid_candidates.csv,03_Q4_全过程数据/q4_v230_below_612A8B_mid_candidates.csv,2146,5BB61137BE882C1C24E2563DC93A5AB62208B7A87819F157EA7B23F495BD8C94,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_below_612A8B_mid_t5000.csv,03_Q4_全过程数据/q4_v230_below_612A8B_mid_t5000.csv,6598,652ECB3FF61FE7AD475DF99DCB353E62B45DBC9DABD9B24B44094127E3C7EA27,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_below_612A8B_mid_t5000.stderr.log,03_Q4_全过程数据/q4_v230_below_612A8B_mid_t5000.stderr.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_612A8B_A606_611_candidates.csv,03_Q4_全过程数据/q4_v230_branch_below_612A8B_A606_611_candidates.csv,155,9592149FF56D4E04F8C1F32A12183DEC1663B01FD7EE4D9F7D55DD44E2FD6719,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_612A8B_A606_611_seed20260807_t50000.csv,03_Q4_全过程数据/q4_v230_branch_below_612A8B_A606_611_seed20260807_t50000.csv,528,A8E6A801C52F078E02C85D45E0102B4D1F25CB61D10666CF0234F7EF88E1E62B,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_612A8B_A606_611_seed20260807_t50000.stderr.log,03_Q4_全过程数据/q4_v230_branch_below_612A8B_A606_611_seed20260807_t50000.stderr.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_612A8B_A606_611_seed20260808_t50000.csv,03_Q4_全过程数据/q4_v230_branch_below_612A8B_A606_611_seed20260808_t50000.csv,525,ADBD54E1BCAC48A978DC509CE60D742542CAC5B915E94B2225F75DF9BEB67AC0,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_612A8B_A606_611_seed20260808_t50000.stderr.log,03_Q4_全过程数据/q4_v230_branch_below_612A8B_A606_611_seed20260808_t50000.stderr.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_612A8B_A606_611_seed51680001_t50000.csv,03_Q4_全过程数据/q4_v230_branch_below_612A8B_A606_611_seed51680001_t50000.csv,524,BB09558AA3961E668A8991CEDF91F18787C9E47F238C0C1F310C007E52838AD2,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_612A8B_A606_611_seed51680001_t50000.stderr.log,03_Q4_全过程数据/q4_v230_branch_below_612A8B_A606_611_seed51680001_t50000.stderr.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_612A8B_pooled150000.csv,03_Q4_全过程数据/q4_v230_branch_below_612A8B_pooled150000.csv,1177,E9293A155CFDB3D18C5CBD3170957BB892AC62C6A31284D4815E0702900A1F87,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_612A8B_pooled150000_audit.json,03_Q4_全过程数据/q4_v230_branch_below_612A8B_pooled150000_audit.json,4655,847247F0DB378805AC144C62742765EEB1A7DBFA1783568F7BB182FAB11BC853,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_A612B2_A605_611_candidates.csv,03_Q4_全过程数据/q4_v230_branch_below_A612B2_A605_611_candidates.csv,181,3B85D04157A7AB98900DE671A415FC6B32B14D82E02FB2B0596DA5CBC55EAC85,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_A612B2_A605_611_pooled150000.csv,03_Q4_全过程数据/q4_v230_branch_below_A612B2_A605_611_pooled150000.csv,1391,B5D63FB2E49C37479E796D3041D781A1DB03BEC03404F3C6E68292DC6B72DB01,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_A612B2_A605_611_pooled150000_audit.json,03_Q4_全过程数据/q4_v230_branch_below_A612B2_A605_611_pooled150000_audit.json,4757,F56820A1FC18D42086685E38C5911F3D3FF1D7127A4817BA2C45525EF49E93EB,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_A612B2_A605_611_seed20260807_t50000.csv,03_Q4_全过程数据/q4_v230_branch_below_A612B2_A605_611_seed20260807_t50000.csv,603,1D0E1E249D5BBF86624D56B988309B224AECC3715BA51A40A7A24E0B87A6A60C,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_A612B2_A605_611_seed20260807_t50000.stderr.log,03_Q4_全过程数据/q4_v230_branch_below_A612B2_A605_611_seed20260807_t50000.stderr.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_A612B2_A605_611_seed20260808_t50000.csv,03_Q4_全过程数据/q4_v230_branch_below_A612B2_A605_611_seed20260808_t50000.csv,597,4F382051DA0EC570857D378202B4A933C00325819EA7C6FB7187A5D52D088A6B,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_A612B2_A605_611_seed20260808_t50000.stderr.log,03_Q4_全过程数据/q4_v230_branch_below_A612B2_A605_611_seed20260808_t50000.stderr.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_A612B2_A605_611_seed51680001_t50000.csv,03_Q4_全过程数据/q4_v230_branch_below_A612B2_A605_611_seed51680001_t50000.csv,598,DCFB6FD31E62945FE0C75D81E1AF4E66FD379E6F59D4163F33BE68696BAA692B,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_branch_below_A612B2_A605_611_seed51680001_t50000.stderr.log,03_Q4_全过程数据/q4_v230_branch_below_A612B2_A605_611_seed51680001_t50000.stderr.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost8.8_coarse.csv,03_Q4_全过程数据/q4_v230_cost8.8_coarse.csv,750,320D82C4813F8B84168CA7D2E7CE86D6BDD2062417ECA31FE0B81DFD97C093E2,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost8.8_coarse_t200.csv,03_Q4_全过程数据/q4_v230_cost8.8_coarse_t200.csv,2084,DCC7796992D678F7AEDB00C6CA7B5FB4D8B93D28FA3C3A749EDA303FCA7128E1,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost8.95_near.csv,03_Q4_全过程数据/q4_v230_cost8.95_near.csv,367,46D82E34564ADCEE1C9B82FF07E6E2B260D3BD2E038C8C82CF83DC93A5696500,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost8.95_near_t1000.csv,03_Q4_全过程数据/q4_v230_cost8.95_near_t1000.csv,1049,E19C386219392F85363862044821A8EC25475A777CC4446BD17578AFD8BEFAB2,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost8.96_near.csv,03_Q4_全过程数据/q4_v230_cost8.96_near.csv,464,B25413E862304C2A3ED8CA2B20001C527FEF1008B46DF780465C59C2BA4CD006,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost8.96_near_t2000.csv,03_Q4_全过程数据/q4_v230_cost8.96_near_t2000.csv,1379,2B907CE513C9193F8566A272E8E369A0386E647860F531FC14C65AE5DFFFD81D,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost8.97_near.csv,03_Q4_全过程数据/q4_v230_cost8.97_near.csv,461,DD7DE611A681F28E63E1F0B26200FC9192139CDAED00A76427588DB29EABE4E5,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost8.97_near_t2000.csv,03_Q4_全过程数据/q4_v230_cost8.97_near_t2000.csv,1369,03F6A5FB162D42378123803274F5B4A9A61E0F16F06D0D1BC072271C82AF522A,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost8.98_near.csv,03_Q4_全过程数据/q4_v230_cost8.98_near.csv,448,B5502FDD622A993794FDEBA075A5BAD1CBCD5992726DE69A518B779075BCF067,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost8.98_near_t2000.csv,03_Q4_全过程数据/q4_v230_cost8.98_near_t2000.csv,1378,7521390DAD3B0CDA95AE624C40F766381BD32C9780D3E21D20BB5190353DA716,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost8.9_coarse.csv,03_Q4_全过程数据/q4_v230_cost8.9_coarse.csv,1485,5ED7306DFD7C7448A51AD59992497D06EDD4DA8C420B7988DA34CD74CA2E3BD0,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost8.9_coarse_t500.csv,03_Q4_全过程数据/q4_v230_cost8.9_coarse_t500.csv,4064,8F1B80AAEE4B76773A8628D7803B41485D4CCC96A5E374A739199BE9006737BD,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost8_coarse.csv,03_Q4_全过程数据/q4_v230_cost8_coarse.csv,476,2C7876EBBFAD7A3ACD58057DB415C04ECCEE1CB9790AC1C9E43410B5B26F962C,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost8_coarse_t100.csv,03_Q4_全过程数据/q4_v230_cost8_coarse_t100.csv,1251,4EE3678C4A6A9E495E51597FA6503901AA75990942DC0E06942EA0B556174E54,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.00_near.csv,03_Q4_全过程数据/q4_v230_cost9.00_near.csv,455,55D2B7D2944D487BBE0FC775AD81E88C110F1F6F013BDB9B77BF8FC7F71280AA,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.00_near_t2000.csv,03_Q4_全过程数据/q4_v230_cost9.00_near_t2000.csv,1445,A295190D7C2E212537FA9326F12CCD3C9F845F8E58225369841B6A8BA161BF22,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.02_near.csv,03_Q4_全过程数据/q4_v230_cost9.02_near.csv,369,1B698A24684A6DA7B008EFA9E9A2712ACC6E93D618C6FEC723410F1B461D0A00,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.02_near_t2000.csv,03_Q4_全过程数据/q4_v230_cost9.02_near_t2000.csv,1157,5C305EB8C6B9FBDE0464B6EE51545168451CED00DD50B946F77D3168054E4E59,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.04_near.csv,03_Q4_全过程数据/q4_v230_cost9.04_near.csv,373,DF72BCF29EEAE32437977B02845AEFD8A227AAA9ADE7917B33C3E16C58BD2817,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.04_near_t2000.csv,03_Q4_全过程数据/q4_v230_cost9.04_near_t2000.csv,1158,59F79894A60141909F1AFC6149A6F4A3EE47B93A2F56D8280A992DE77E6D7976,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.06_near.csv,03_Q4_全过程数据/q4_v230_cost9.06_near.csv,365,47AD4BD6B951C30D4F624CFCC277735CA86F0EB1CDB043443C18D8AC147563F3,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.06_near_t2000.csv,03_Q4_全过程数据/q4_v230_cost9.06_near_t2000.csv,1161,3072BD45D9145F13B9DF695616AB038030A6589538834CEB6C41F899FB283970,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.08_dense_A520_t5000.csv,03_Q4_全过程数据/q4_v230_cost9.08_dense_A520_t5000.csv,6735,A75842AA247F381186A1E5533A4242FCC2E14750D916053164FCCCD5448D1D07,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.08_dense_A520_t5000_candidates.csv,03_Q4_全过程数据/q4_v230_cost9.08_dense_A520_t5000_candidates.csv,2189,AEB3E7B535B9D35C7F6BA4A2A7BAE4FE2AD14B9E803CBF9764FB8D0419D8C973,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.08_near.csv,03_Q4_全过程数据/q4_v230_cost9.08_near.csv,374,E8C42F95C2BA92B1F57FEB605817A74196096E531D1A15414613145191CA5CCC,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.08_near_t2000.csv,03_Q4_全过程数据/q4_v230_cost9.08_near_t2000.csv,1237,DF22100F3D4EA5DCAEDEFDC71F341B5E908B519371EC785C285F1F7A2C7A400E,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.0_coarse.csv,03_Q4_全过程数据/q4_v230_cost9.0_coarse.csv,766,576CF09C9D9DB0FA6F02C69FDC6CF76E3936C0ED7A46C5D33F4D78D70862AB5F,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.0_coarse_t200.csv,03_Q4_全过程数据/q4_v230_cost9.0_coarse_t200.csv,2151,667B7E5DA8C575D5F5199564F337A09DDB9EB63FCCAE613D49C18994D2B32B54,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.10_dense_A520_t5000.csv,03_Q4_全过程数据/q4_v230_cost9.10_dense_A520_t5000.csv,6797,EEE72538D7DB47C162AEDB2D9815056BF1C666C9168F7C824F0AACF02CDB0A18,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.10_dense_A520_t5000_candidates.csv,03_Q4_全过程数据/q4_v230_cost9.10_dense_A520_t5000_candidates.csv,2213,07C037ABF9F704D6FDF40D75246F700A6CD3A5E20D56A600A60153D93DFD0D5A,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.12_dense_A520_t5000.csv,03_Q4_全过程数据/q4_v230_cost9.12_dense_A520_t5000.csv,6953,0A392E6AFD557EF14911BB93753B2D3CF4CB5A5D02F327880A093D876907B110,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.12_dense_A520_t5000_candidates.csv,03_Q4_全过程数据/q4_v230_cost9.12_dense_A520_t5000_candidates.csv,2224,66716DB550678D91F70FF6DDF0156ABC8257C9560D432AF061C74EA5F20563B6,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.14_dense_A520_t5000.csv,03_Q4_全过程数据/q4_v230_cost9.14_dense_A520_t5000.csv,7029,88EE2EDC3813DE220951BAC27378687DD126EB48435643AD4A0A69A580E7E0F4,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_cost9.14_dense_A520_t5000_candidates.csv,03_Q4_全过程数据/q4_v230_cost9.14_dense_A520_t5000_candidates.csv,2256,9AB0DB0D9EF94FDC65E99D27F9C098EF73A001736D4661EB11CE45498A161E3C,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_frontier_coarse.csv,03_Q4_全过程数据/q4_v230_frontier_coarse.csv,545,6DE0A5FBD107A01DC53E9F19D00B2778F996B3C347924C2CFAF70BE5853B09DC,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_frontier_coarse_t100.csv,03_Q4_全过程数据/q4_v230_frontier_coarse_t100.csv,1456,AA42C71E40CFD6C08786381D61FC660BDC8113DEAE1C43FBDCE9D06D014D9134,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_frontier_near.csv,03_Q4_全过程数据/q4_v230_frontier_near.csv,2749,F0B1BAFCE2BA0C110E6F689E6758EF155445C93DF5EB32AA020A640909191514,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_frontier_near_t500.csv,03_Q4_全过程数据/q4_v230_frontier_near_t500.csv,8043,CF9C293BA4E3E648B20F6F2F4C1901B735B0457E2474C762A52FDDCDD028F84D,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_frontier_strict_below_A612B2_all.csv,03_Q4_全过程数据/q4_v230_frontier_strict_below_A612B2_all.csv,14614,6A0302E79DCB88FD06C371DF8DBC28D79962897D68131DBB42AF6FD2820966FB,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_local_grid_A612_B1_8_candidates.csv,03_Q4_全过程数据/q4_v230_local_grid_A612_B1_8_candidates.csv,170,F16E798C90D45150DCA3346C4F4474D5C1BED6187A14367B52A493C661AFACC1,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_local_grid_A612_B1_8_pooled150000.csv,03_Q4_全过程数据/q4_v230_local_grid_A612_B1_8_pooled150000.csv,1049,5DFE2BA8E3EC7818ACE4FF28EF740173C38935D0F0103F35602D679B15C711A6,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_local_grid_A612_B1_8_pooled150000_summary.json,03_Q4_全过程数据/q4_v230_local_grid_A612_B1_8_pooled150000_summary.json,1685,6671A5E04F1544504F7D739AABC66476182132730335C4C33C6BB0F07BDE1F81,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_local_grid_A612_B1_8_seed20260807_t50000.csv,03_Q4_全过程数据/q4_v230_local_grid_A612_B1_8_seed20260807_t50000.csv,660,2BEC41F0081DB982E2C22778877327E86F1D0B954F4B7527769903BCBB6E5482,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_local_grid_A612_B1_8_seed20260807_t50000.stderr.log,03_Q4_全过程数据/q4_v230_local_grid_A612_B1_8_seed20260807_t50000.stderr.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_local_grid_A612_B1_8_seed20260808_t50000.csv,03_Q4_全过程数据/q4_v230_local_grid_A612_B1_8_seed20260808_t50000.csv,667,FF5E9969DD252006FD61E653CD7CFC616E9CE6E5ABA4107E5FB433F82FFDB6C0,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_local_grid_A612_B1_8_seed20260808_t50000.stderr.log,03_Q4_全过程数据/q4_v230_local_grid_A612_B1_8_seed20260808_t50000.stderr.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_local_grid_A612_B1_8_seed51680001_t50000.csv,03_Q4_全过程数据/q4_v230_local_grid_A612_B1_8_seed51680001_t50000.csv,663,819F9EB12D9F48AA4418421AC492FD4F5A4C334458F691912B58B0AB3764DAC9,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_local_grid_A612_B1_8_seed51680001_t50000.stderr.log,03_Q4_全过程数据/q4_v230_local_grid_A612_B1_8_seed51680001_t50000.stderr.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_strict_cheaper_A590_612_pooled150000.csv,03_Q4_全过程数据/q4_v230_strict_cheaper_A590_612_pooled150000.csv,2904,B413022D70C26D3D83ADBD6E73EEDC7408E19923328EC907130B759C6FF27DAF,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_strict_cheaper_A590_612_pooled150000_summary.json,03_Q4_全过程数据/q4_v230_strict_cheaper_A590_612_pooled150000_summary.json,1502,61C7B61529DBDB3643FF241D3BF3090C52C97C9EBBE8D283E26E1E958290326F,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_strict_cheaper_A590_612_seed20260807_t50000.csv,03_Q4_全过程数据/q4_v230_strict_cheaper_A590_612_seed20260807_t50000.csv,1798,54922FB16AA4842F143F6C5A641FE23690F8D00C7814A688089AF91D9496BC7C,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_strict_cheaper_A590_612_seed20260807_t50000.stderr.log,03_Q4_全过程数据/q4_v230_strict_cheaper_A590_612_seed20260807_t50000.stderr.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_strict_cheaper_A590_612_seed20260808_t50000.csv,03_Q4_全过程数据/q4_v230_strict_cheaper_A590_612_seed20260808_t50000.csv,1798,D5409C3E1C3CB2FCD7E74AC350321CACB8EF612437D1334004BBA1072362876E,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_strict_cheaper_A590_612_seed20260808_t50000.stderr.log,03_Q4_全过程数据/q4_v230_strict_cheaper_A590_612_seed20260808_t50000.stderr.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_strict_cheaper_A590_612_seed51680001_t50000.csv,03_Q4_全过程数据/q4_v230_strict_cheaper_A590_612_seed51680001_t50000.csv,1804,97C5AA98E4D41C251BDA03464ACCD89BCA414D8286A1DC628606534B05C9F9BA,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_strict_cheaper_A590_612_seed51680001_t50000.stderr.log,03_Q4_全过程数据/q4_v230_strict_cheaper_A590_612_seed51680001_t50000.stderr.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"Q4 search, local splitting, pooled or seed result",main
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_strict_cheaper_than_A613_A590_612_candidates.csv,03_Q4_全过程数据/q4_v230_strict_cheaper_than_A613_A590_612_candidates.csv,560,58F4270955D7FAE9BD907D1BCF72EAA95C260225B06C34169CD8C46C856CAF13,"Q4 search, local splitting, pooled or seed result",screening
